to run ;бежать ;tuː rʌn  
to be afraid ;бояться ;tuː biː əˈfreɪd  
to take ;брать ;tuː teɪk  
to be ;быть ;tuː biː  
to see ;видеть ;tuː siː  
to own;владеть ;tuː əʊn 
to object;возражать ;tuː ˈɒbʤɪkt 
to come in;входить ;tuː kʌm ɪn 
to choose;выбирать ;tuː ʧuːz 
to go out;выходить ;tuː gəʊ aʊt 
to speak;говорить (разговаривать);tuː spiːk 
to cook;готовить ;tuː kʊk 
to give;давать ;tuː gɪv 
to do;делать ;tuː duː 
to trust;доверять ;tuː trʌst 
to think;думать ;tuː θɪŋk 
to complain;жаловаться ;tuː kəmˈpleɪn 
to wait;ждать ;tuː weɪt 
to forget;забывать ;tuː fəˈgɛt 
to have breakfast;завтракать ;tuː hæv ˈbrɛkfəst 
to order;заказывать ;tuː ˈɔːdə 
to finish;заканчивать ;tuː ˈfɪnɪʃ 
to notice;замечать ;tuː ˈnəʊtɪs 
to write down;записывать ;tuː raɪt daʊn 
to defend;защищать ;tuː dɪˈfɛnd 
to call;звать ;tuː kɔːl 
to know;знать ;tuː nəʊ 
to play ;играть ;tuː pleɪ  
to go ;идти ;tuː gəʊ  
to excuse ;извинять ;tuː ɪksˈkjuːs  
to change;изменить (поменять) ;tuː ʧeɪnʤ 
to study ;изучать ;tuː ˈstʌdi  
to have ;иметь ;tuː hæv  
to be interested in;интересоваться ;tuː biː ˈɪntrɪstɪd ɪn 
to inform ;информировать ;tuː ɪnˈfɔːm  
to look for ;искать ;tuː lʊk fɔː  
to control ;контролировать ;tuː kənˈtrəʊl  
to steal ;красть ;tuː stiːl  
to shout ;кричать ;tuː ʃaʊt  
to go for a swim ;купаться (в море и т.п.);tuː gəʊ fɔːr ə swɪm  
to fly ;лететь ;tuː flaɪ  
to catch ;ловить ;tuː kæʧ  
to break ;ломать ;tuː breɪk  
to love ;любить ;tuː lʌv  
to pray ;молиться ;tuː preɪ  
to keep silent ;молчать ;tuː kiːp ˈsaɪlənt  
can ;мочь ;kæn  
to observe ;наблюдать ;tuː əbˈzɜːv  
to hope ;надеяться ;tuː həʊp  
to punish ;наказывать ;tuː ˈpʌnɪʃ  
to insist ;настаивать (упорствовать) ;tuː ɪnˈsɪst  
to find ;находить ;tuː faɪnd  
to begin ;начинать ;tuː bɪˈgɪn  
to underestimate ;недооценивать ;tuː ˌʌndəˈrɛstɪmɪt  
to fancy ;нравиться ;tuː ˈfænsi  
to have lunch ;обедать ;tuː hæv lʌnʧ  
to promise;обещать ;tuː ˈprɒmɪs 
to deceive ;обманывать ;tuː dɪˈsiːv  
to discuss ;обсуждать ;tuː dɪsˈkʌs  
to unite ;объединять ;tuː juːˈnaɪt  
to explain ;объяснять ;tuː ɪksˈpleɪn  
to mean ;означать ;tuː miːn  
to liberate ;освобождать ;tuː ˈlɪbəreɪt  
to insult ;оскорблять ;tuː ˈɪnsʌlt  
to stop ;останавливаться ;tuː stɒp  
to answer ;отвечать ;tuː ˈɑːnsə  
to guess right ;отгадать ;tuː gɛs raɪt  
to refuse ;отказываться ;tuː ˌriːˈfjuːz  
to open ;открывать ;tuː ˈəʊpən  
to send ;отправлять ;tuː sɛnd  
to hunt ;охотиться ;tuː hʌnt  
to make a mistake ;ошибаться ;tuː meɪk ə mɪsˈteɪk  
to fall ;падать ;tuː fɔːl  
to translate ;переводить (текст) ;tuː trænsˈleɪt  
to write ;писать ;tuː raɪt  
to swim ;плавать ;tuː swɪm  
to cry ;плакать ;tuː kraɪ  
to plan;планировать ;tuː plæn 
to pay ;платить ;tuː peɪ  
to turn ;поворачивать ;tuː tɜːn  
to repeat ;повторять ;tuː rɪˈpiːt  
to sign ;подписывать ;tuː saɪn  
to give a hint;подсказать ;tuː gɪv ə hɪnt 
to show ;показывать ;tuː ʃəʊ  
to help ;помогать ;tuː hɛlp  
to understand ;понимать ;tuː ˌʌndəˈstænd  
to expect ;предвидеть (ожидать);tuː ɪksˈpɛkt  
to propose ;предлагать ;tuː prəˈpəʊz  
to prefer ;предпочитать ;tuː priˈfɜː  
to warn ;предупреждать ;tuː wɔːn  
to stop ;прекращать ;tuː stɒp  
to invite ;приглашать ;tuː ɪnˈvaɪt  
to arrive ;приезжать ;tuː əˈraɪv  
to order ;приказывать ;tuː ˈɔːdə  
to belong to ;принадлежать ;tuː bɪˈlɒŋ tuː  
to try ;пробовать (пытаться);tuː traɪ  
to sell ;продавать ;tuː sɛl  
to continue ;продолжать ;tuː kənˈtɪnju(ː)  
to pronounce ;произносить ;tuː prəˈnaʊns  
to miss ;пропускать ;tuː mɪs  
to ask ;просить ;tuː ɑːsk  
to forgive ;прощать ;tuː fəˈgɪv  
to hide ;прятать ;tuː haɪd  
to confuse ;путать ;tuː kənˈfjuːz  
to mix up ;путать ;tuː mɪks ʌp  
to work ;работать ;tuː wɜːk  
to permit ;разрешать ;tuː ˈpɜːmɪt  
to count on ;рассчитывать на;tuː kaʊnt ɒn  
to reserve;резервировать ;tuː rɪˈzɜːv 
to book ;резервировать ;tuː bʊk  
to recommend ;рекомендовать ;tuː ˌrɛkəˈmɛnd  
to drop ;ронять ;tuː drɒp  
to scold ;ругать ;tuː skəʊld  
to manage ;руководить ;tuː ˈmænɪʤ  
to dig ;рыть ;tuː dɪg  
to sit down ;садиться ;tuː sɪt daʊn  
to say ;сказать ;tuː seɪ  
to follow ;следовать;tuː ˈfɒləʊ  
to hear ;слышать ;tuː hɪə  
to laugh ;смеяться ;tuː lɑːf  
to rent ;снимать (напр. квартиру);tuː rɛnt  
to advise ;советовать ;tuː ədˈvaɪz  
to agree ;соглашаться ;tuː əˈgriː  
to regret ;сожалеть ;tuː rɪˈgrɛt  
to create ;создать ;tuː kri(ː)ˈeɪt  
to doubt;сомневаться ;tuː daʊt 
to keep ;сохранять ;tuː kiːp  
to save;спасать ;tuː seɪv 
to rescue ;спасать ;tuː ˈrɛskjuː  
to ask ;спрашивать ;tuː ɑːsk  
to come down ;спускаться ;tuː kʌm daʊn  
to compare;сравнивать ;tuː kəmˈpeə 
to cost ;стоить ;tuː kɒst  
to shoot ;стрелять ;tuː ʃuːt  
to exist ;существовать ;tuː ɪgˈzɪst  
to count ;считать (подсчитывать) ;tuː kaʊnt  
to hurry ;торопиться ;tuː ˈhʌri  
to demand ;требовать ;tuː dɪˈmɑːnd  
to be needed;требоваться ;tuː biː ˈniːdɪd 
to touch ;трогать ;tuː tʌʧ  
to kill ;убивать ;tuː kɪl  
to threaten ;угрожать ;tuː ˈθrɛtn  
to be surprised ;удивляться ;tuː biː səˈpraɪzd  
to have dinner;ужинать ;tuː hæv ˈdɪnə 
to decorate ;украшать ;tuː ˈdɛkəreɪt  
to smile ;улыбаться ;tuː smaɪl  
to mention ;упоминать ;tuː ˈmɛnʃən  
to participate ;участвовать ;tuː pɑːˈtɪsɪpeɪt  
to boast ;хвастаться ;tuː bəʊst  
to want;хотеть ;tuː wɒnt 
to be hungry;хотеть есть ;tuː biː ˈhʌŋgri 
to be thirsty ;хотеть пить ;tuː biː ˈθɜːsti  
to read ;читать ;tuː riːd  
to joke ;шутить ;tuː ʤəʊk  
